Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Developing economies,1642733.883,1676660.961,1713450.356,1752434.368,1792667.592,1835010.882,1878087.376,1923040.389,1968753.126,2010267.822,2046870.808,2083481.162,2129468.493,2186555.613,2246054.593,2304443.928,2362975.493,2421491.655,2482514.105,2546274.819,2610768.605,2674907.562,2738959.832,2804397.09,2869898.679,2934329.063,2998397.274,3062762.484,3127801.271,3195034.949,3264703.153,3336780.34,3411845.345,3487417.184,3563107.399,3640840.001,3720788.019,3802993.574,3885541.6,3968383.643,4052343.935,4134164.029,4282332.142,4360979.117,4438832.311,4516381.597,4593486.695,4669947.381,4746199.466,4822455.169,4899293.036,4976876.64,5054346.959,5131435.916,5208638.709,5286359.739,5364722.842,5443569.512,5523195.313,5604236.526,5686362.392,5768751.975,5852027.561,5935892.495,6019521.498,6102362.149,6184419.484,6266157.448,6346011.599,6423355.584,6497262.772,6565504.139,6631538.856,6701202.116,6773428.421,6845321.299,6916592.998,6987254.307,7057298.505,7126685.112,7195399.366,7263387.351,7330679.923,7397255.134,7463042.487,7528026.316,7592137.889,7655394.013,7717832.728,7779318.911,7839760.857,7899170.991,7957503.519,8014685.888,8070639.557,8125302.367,8178629.808,8230561.168,8281018.883,8329896.825,8377157.587
Developed economies,856588.283,866469.417,876820.55,887844.426,899311.745,911061.266,922915.26,934826.471,947354.979,960024.368,972362.632,984889.457,997218.247,1009223.644,1021157.746,1032668.057,1043441.54,1053956.514,1064296.702,1074380.461,1084621.736,1095255.536,1105841.046,1115854.418,1125618.405,1134964.956,1143957.481,1152851.403,1161692.118,1170379.86,1179134.269,1187677.693,1195967.033,1204287.638,1212543.946,1220700.435,1229079.615,1237789.629,1246545.599,1255110.739,1263623.282,1271877.831,1210154.62,1216254.468,1221690.376,1226626.29,1231439.841,1236307.162,1240877.381,1245058.358,1249351.714,1253607.045,1257787.834,1262180.392,1266822.051,1271517.835,1276388.869,1282072.235,1288096.134,1293766.375,1298940.411,1304079.171,1309377.748,1314395.838,1319167.402,1323895.778,1328708.43,1333315.951,1337429.448,1341248.553,1343344.568,1343446.628,1343222.546,1343765.154,1345063.284,1346322.641,1347426.522,1348378.025,1349184.704,1349858.529,1350396.107,1350799.466,1351066.093,1351197.442,1351186.714,1351025.089,1350722.818,1350286.403,1349710.401,1348996.471,1348143.873,1347156.59,1346047.678,1344804.957,1343423.378,1341895.824,1340215.738,1338391.624,1336410.726,1334274.775,1331990.049
