Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Developing economies,1642733883,1676660961,1713450356,1752434368,1792667592,1835010882,1878087376,1923040389,1968753126,2010267822,2046870808,2083481162,2129468493,2186555613,2246054593,2304443928,2362975493,2421491655,2482514105,2546274819,2610768605,2674907562,2738959832,2804397090,2869898679,2934329063,2998397274,3062762484,3127801271,3195034949,3264703153,3336780340,3411845345,3487417184,3563107399,3640840001,3720788019,3802993574,3885541600,3968383643,4052343935,4134164029,4282332142,4360979117,4438832311,4516381597,4593486695,4669947381,4746199466,4822455169,4899293036,4976876640,5054346959,5131435916,5208638709,5286359739,5364722842,5443569512,5523195313,5604236526,5686362392,5768751975,5852027561,5935892495,6019521498,6102362149,6184419484,6266157448,6346011599,6423355584,6497262772,6565504139,6631538856,6701202116,6773428421,6845321299,6916592998,6987254307,7057298505,7126685112,7195399366,7263387351,7330679923,7397255134,7463042487,7528026316,7592137889,7655394013,7717832728,7779318911,7839760857,7899170991,7957503519,8014685888,8070639557,8125302367,8178629808,8230561168,8281018883,8329896825,8377157587
Developed economies,856588283,866469417,876820550,887844426,899311745,911061266,922915260,934826471,947354979,960024368,972362632,984889457,997218247,1009223644,1021157746,1032668057,1043441540,1053956514,1064296702,1074380461,1084621736,1095255536,1105841046,1115854418,1125618405,1134964956,1143957481,1152851403,1161692118,1170379860,1179134269,1187677693,1195967033,1204287638,1212543946,1220700435,1229079615,1237789629,1246545599,1255110739,1263623282,1271877831,1210154620,1216254468,1221690376,1226626290,1231439841,1236307162,1240877381,1245058358,1249351714,1253607045,1257787834,1262180392,1266822051,1271517835,1276388869,1282072235,1288096134,1293766375,1298940411,1304079171,1309377748,1314395838,1319167402,1323895778,1328708430,1333315951,1337429448,1341248553,1343344568,1343446628,1343222546,1343765154,1345063284,1346322641,1347426522,1348378025,1349184704,1349858529,1350396107,1350799466,1351066093,1351197442,1351186714,1351025089,1350722818,1350286403,1349710401,1348996471,1348143873,1347156590,1346047678,1344804957,1343423378,1341895824,1340215738,1338391624,1336410726,1334274775,1331990049
